기간,품목명,품목코드,수출중량,수입중량,수출금액,수입금액,무역수지
2014.08,탄산칼륨,2836400000,"6,192.5",252.1,"6,054",370,"5,684"
2014.09,탄산칼륨,2836400000,"7,073.1",161.1,"7,081",175,"6,906"
2014.10,탄산칼륨,2836400000,"5,843.4",222.0,"5,625",238,"5,387"
2014.11,탄산칼륨,2836400000,"5,042.1",99.1,"4,842",124,"4,718"
2014.12,탄산칼륨,2836400000,"6,409.7",80.1,"5,982",83,"5,899"
2015.01,탄산칼륨,2836400000,"6,774.3",141.5,"6,370",164,"6,206"
2015.02,탄산칼륨,2836400000,"5,606.5",60.0,"5,319",65,"5,254"
2015.03,탄산칼륨,2836400000,"6,192.9",127.0,"5,576",137,"5,439"
2015.04,탄산칼륨,2836400000,"5,191.6",31.1,"4,804",54,"4,750"
2015.05,탄산칼륨,2836400000,"6,656.0",220.1,"5,935",225,"5,710"
2015.06,탄산칼륨,2836400000,"7,852.0",52.6,"7,067",63,"7,004"
2015.07,탄산칼륨,2836400000,"6,578.1",102.0,"6,026",104,"5,922"
2015.08,탄산칼륨,2836400000,"7,529.8",83.0,"6,860",89,"6,771"
2015.09,탄산칼륨,2836400000,"6,049.3",62.4,"5,450",70,"5,380"
2015.10,탄산칼륨,2836400000,"5,613.4",120.0,"5,029",121,"4,908"
2015.11,탄산칼륨,2836400000,"4,637.0",105.1,"4,023",109,"3,914"
2015.12,탄산칼륨,2836400000,"5,954.3",120.0,"4,956",133,"4,823"
2016.01,탄산칼륨,2836400000,"5,915.6",106.1,"5,006",112,"4,894"
2016.02,탄산칼륨,2836400000,"7,169.5",60.6,"6,012",62,"5,950"
2016.03,탄산칼륨,2836400000,"6,263.8",200.1,"5,292",193,"5,099"
2016.04,탄산칼륨,2836400000,"6,930.9",108.6,"5,653",117,"5,536"
2016.05,탄산칼륨,2836400000,"8,048.8",100.8,"6,660",124,"6,536"
2016.06,탄산칼륨,2836400000,"7,532.1",217.0,"6,154",191,"5,963"
2016.07,탄산칼륨,2836400000,"7,276.4",133.0,"5,832",124,"5,708"
2016.08,탄산칼륨,2836400000,"6,463.2",233.5,"5,296",257,"5,039"
2016.09,탄산칼륨,2836400000,"7,831.0",135.5,"6,335",131,"6,204"
2016.10,탄산칼륨,2836400000,"6,604.8",180.1,"5,236",159,"5,077"
2016.11,탄산칼륨,2836400000,"5,906.5",240.1,"4,500",200,"4,300"
2016.12,탄산칼륨,2836400000,"7,244.9",209.3,"5,355",218,"5,137"
2017.01,탄산칼륨,2836400000,"5,300.2",82.5,"3,815",79,"3,736"
2017.02,탄산칼륨,2836400000,"7,453.2",120.1,"5,544",106,"5,438"
2017.03,탄산칼륨,2836400000,"8,378.3",254.9,"6,129",234,"5,895"
2017.04,탄산칼륨,2836400000,"9,207.4",147.7,"6,398",165,"6,233"
2017.05,탄산칼륨,2836400000,"8,285.5",273.1,"5,850",232,"5,618"
2017.06,탄산칼륨,2836400000,"7,984.7",192.1,"5,809",168,"5,641"
2017.07,탄산칼륨,2836400000,"6,541.2",171.1,"4,792",148,"4,644"
2017.08,탄산칼륨,2836400000,"8,199.7",163.4,"6,084",142,"5,942"
2017.09,탄산칼륨,2836400000,"7,198.3",195.7,"5,200",212,"4,988"
2017.10,탄산칼륨,2836400000,"6,447.8",185.3,"4,743",170,"4,573"
2017.11,탄산칼륨,2836400000,"6,492.1",202.4,"4,829",174,"4,655"
2017.12,탄산칼륨,2836400000,"4,269.9",128.5,"3,295",149,"3,146"
2018.01,탄산칼륨,2836400000,"5,571.6",320.0,"4,123",258,"3,865"
2018.02,탄산칼륨,2836400000,"3,627.9",190.6,"2,687",177,"2,510"
2018.03,탄산칼륨,2836400000,"6,906.9",245.4,"5,200",223,"4,977"
2018.04,탄산칼륨,2836400000,"8,809.8",199.0,"6,474",185,"6,289"
2018.05,탄산칼륨,2836400000,"9,897.1",257.6,"7,381",220,"7,161"
2018.06,탄산칼륨,2836400000,"8,761.8",102.2,"6,614",89,"6,525"
2018.07,탄산칼륨,2836400000,"7,542.1",121.0,"5,613",113,"5,500"
2018.08,탄산칼륨,2836400000,"7,544.3",289.1,"5,586",274,"5,312"
