기간,품목명,품목코드,수출중량,수입중량,수출금액,수입금액,무역수지
2014.08,수산화칼륨[가성(苛性)칼륨],2815200000,"10,089.4",181.5,"9,399",337,"9,062"
2014.09,수산화칼륨[가성(苛性)칼륨],2815200000,"12,095.6",252.0,"9,904",509,"9,395"
2014.10,수산화칼륨[가성(苛性)칼륨],2815200000,"11,318.8",259.7,"9,724",435,"9,289"
2014.11,수산화칼륨[가성(苛性)칼륨],2815200000,"12,342.5",15.6,"9,741",123,"9,618"
2014.12,수산화칼륨[가성(苛性)칼륨],2815200000,"11,592.6",358.9,"9,487",410,"9,077"
2015.01,수산화칼륨[가성(苛性)칼륨],2815200000,"10,876.4",285.2,"8,832",395,"8,437"
2015.02,수산화칼륨[가성(苛性)칼륨],2815200000,"14,427.0",196.6,"11,471",273,"11,198"
2015.03,수산화칼륨[가성(苛性)칼륨],2815200000,"15,203.3",143.9,"12,247",388,"11,859"
2015.04,수산화칼륨[가성(苛性)칼륨],2815200000,"12,357.0",281.4,"11,102",314,"10,788"
2015.05,수산화칼륨[가성(苛性)칼륨],2815200000,"11,585.9",200.8,"9,437",279,"9,158"
2015.06,수산화칼륨[가성(苛性)칼륨],2815200000,"13,050.1",355.4,"10,795",438,"10,357"
2015.07,수산화칼륨[가성(苛性)칼륨],2815200000,"14,047.0",339.5,"10,870",297,"10,573"
2015.08,수산화칼륨[가성(苛性)칼륨],2815200000,"11,845.8",393.9,"9,475",339,"9,136"
2015.09,수산화칼륨[가성(苛性)칼륨],2815200000,"11,762.0",95.6,"9,430",171,"9,259"
2015.10,수산화칼륨[가성(苛性)칼륨],2815200000,"12,397.5",493.8,"9,847",423,"9,424"
2015.11,수산화칼륨[가성(苛性)칼륨],2815200000,"11,744.8",463.5,"9,877",451,"9,426"
2015.12,수산화칼륨[가성(苛性)칼륨],2815200000,"10,972.2",415.2,"8,532",471,"8,061"
2016.01,수산화칼륨[가성(苛性)칼륨],2815200000,"11,085.3",44.3,"8,461",66,"8,395"
2016.02,수산화칼륨[가성(苛性)칼륨],2815200000,"11,019.5",163.5,"9,133",171,"8,962"
2016.03,수산화칼륨[가성(苛性)칼륨],2815200000,"12,136.4",314.0,"9,233",379,"8,854"
2016.04,수산화칼륨[가성(苛性)칼륨],2815200000,"11,011.6",408.1,"8,416",343,"8,073"
2016.05,수산화칼륨[가성(苛性)칼륨],2815200000,"10,179.1",219.9,"8,584",220,"8,364"
2016.06,수산화칼륨[가성(苛性)칼륨],2815200000,"10,021.1",439.0,"7,843",399,"7,444"
2016.07,수산화칼륨[가성(苛性)칼륨],2815200000,"9,555.0",129.8,"7,228",127,"7,101"
2016.08,수산화칼륨[가성(苛性)칼륨],2815200000,"10,505.5",293.5,"8,196",329,"7,867"
2016.09,수산화칼륨[가성(苛性)칼륨],2815200000,"11,383.3",501.7,"8,714",508,"8,206"
2016.10,수산화칼륨[가성(苛性)칼륨],2815200000,"10,743.7",676.6,"8,070",606,"7,464"
2016.11,수산화칼륨[가성(苛性)칼륨],2815200000,"10,561.0",272.8,"7,838",224,"7,614"
2016.12,수산화칼륨[가성(苛性)칼륨],2815200000,"8,264.8",505.8,"6,480",438,"6,042"
2017.01,수산화칼륨[가성(苛性)칼륨],2815200000,"10,372.3",528.0,"7,550",416,"7,134"
2017.02,수산화칼륨[가성(苛性)칼륨],2815200000,"9,955.1",627.3,"7,598",521,"7,077"
2017.03,수산화칼륨[가성(苛性)칼륨],2815200000,"12,435.6",558.1,"8,800",589,"8,211"
2017.04,수산화칼륨[가성(苛性)칼륨],2815200000,"9,165.4",235.4,"6,916",254,"6,662"
2017.05,수산화칼륨[가성(苛性)칼륨],2815200000,"10,357.9",887.5,"7,280",727,"6,553"
2017.06,수산화칼륨[가성(苛性)칼륨],2815200000,"10,889.1",935.6,"7,639",802,"6,837"
2017.07,수산화칼륨[가성(苛性)칼륨],2815200000,"10,785.2",515.4,"7,436",475,"6,961"
2017.08,수산화칼륨[가성(苛性)칼륨],2815200000,"11,998.5",912.1,"8,452",727,"7,725"
2017.09,수산화칼륨[가성(苛性)칼륨],2815200000,"10,252.5",786.3,"7,784",586,"7,198"
2017.10,수산화칼륨[가성(苛性)칼륨],2815200000,"8,842.0",500.4,"6,868",584,"6,284"
2017.11,수산화칼륨[가성(苛性)칼륨],2815200000,"12,002.0",634.0,"8,660",571,"8,089"
2017.12,수산화칼륨[가성(苛性)칼륨],2815200000,"8,027.4",893.1,"5,729",772,"4,957"
2018.01,수산화칼륨[가성(苛性)칼륨],2815200000,"8,068.5",625.2,"6,275",553,"5,722"
2018.02,수산화칼륨[가성(苛性)칼륨],2815200000,"7,914.9",632.9,"6,099",527,"5,572"
2018.03,수산화칼륨[가성(苛性)칼륨],2815200000,"10,533.7",793.6,"6,792",743,"6,049"
2018.04,수산화칼륨[가성(苛性)칼륨],2815200000,"14,569.0",597.7,"10,547",649,"9,898"
2018.05,수산화칼륨[가성(苛性)칼륨],2815200000,"14,438.9",600.7,"10,082",575,"9,507"
2018.06,수산화칼륨[가성(苛性)칼륨],2815200000,"10,873.2",450.0,"8,496",443,"8,053"
2018.07,수산화칼륨[가성(苛性)칼륨],2815200000,"13,961.7",765.8,"9,691",801,"8,890"
2018.08,수산화칼륨[가성(苛性)칼륨],2815200000,"14,785.7",480.1,"10,859",583,"10,276"
